session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
skdclskt,1,9bv3gi2y,0,,InitializeParticipant,1777998265,1,0,0
skdclskt,2,1tnknpce,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,3,zkl94ida,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,4,h7nk13vs,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,5,8rrxo8mh,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,6,53wkzdsp,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,7,2tmxyq59,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,8,klvgct3w,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,9,fa5fpl4w,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,10,0sa5xwid,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,11,w5nuyib0,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,12,s1twfhpt,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,13,tqeatlds,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,14,nu7ykbgx,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,15,su76nhj9,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,16,c2m857p1,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,17,r6xuxcar,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,18,2y2lzizt,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,19,0qc91a5a,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,20,2vy9s3px,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,21,87uw2jck,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,22,3ftocepp,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,23,xz3dh0k4,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,24,x7l4wbwx,0,,InitializeParticipant,1777998266,1,0,0
skdclskt,20,2vy9s3px,1,intro,Consent,1777998272,1,0,0
skdclskt,18,2y2lzizt,1,intro,Consent,1777998273,1,0,0
skdclskt,16,c2m857p1,1,intro,Consent,1777998274,1,0,0
skdclskt,5,8rrxo8mh,1,intro,Consent,1777998275,1,0,0
skdclskt,1,9bv3gi2y,1,intro,Consent,1777998275,1,0,0
skdclskt,19,0qc91a5a,1,intro,Consent,1777998275,1,0,0
skdclskt,22,3ftocepp,1,intro,Consent,1777998276,1,0,0
skdclskt,2,1tnknpce,1,intro,Consent,1777998276,1,0,0
skdclskt,18,2y2lzizt,2,intro,Instructions,1777998277,1,0,0
skdclskt,17,r6xuxcar,1,intro,Consent,1777998277,1,0,0
skdclskt,13,tqeatlds,1,intro,Consent,1777998277,1,0,0
skdclskt,15,su76nhj9,1,intro,Consent,1777998277,1,0,0
skdclskt,16,c2m857p1,2,intro,Instructions,1777998277,1,0,0
skdclskt,11,w5nuyib0,1,intro,Consent,1777998278,1,0,0
skdclskt,5,8rrxo8mh,2,intro,Instructions,1777998278,1,0,0
skdclskt,7,2tmxyq59,1,intro,Consent,1777998278,1,0,0
skdclskt,19,0qc91a5a,2,intro,Instructions,1777998279,1,0,0
skdclskt,16,c2m857p1,3,intro,InstructionsVideo,1777998280,1,0,0
skdclskt,10,0sa5xwid,1,intro,Consent,1777998280,1,0,0
skdclskt,22,3ftocepp,2,intro,Instructions,1777998280,1,0,0
skdclskt,5,8rrxo8mh,3,intro,InstructionsVideo,1777998281,1,0,0
skdclskt,4,h7nk13vs,1,intro,Consent,1777998281,1,0,0
skdclskt,9,fa5fpl4w,1,intro,Consent,1777998282,1,0,0
skdclskt,18,2y2lzizt,3,intro,InstructionsVideo,1777998282,1,0,0
skdclskt,14,nu7ykbgx,1,intro,Consent,1777998282,1,0,0
skdclskt,2,1tnknpce,2,intro,Instructions,1777998282,1,0,0
skdclskt,15,su76nhj9,2,intro,Instructions,1777998283,1,0,0
skdclskt,24,x7l4wbwx,1,intro,Consent,1777998284,1,0,0
skdclskt,19,0qc91a5a,3,intro,InstructionsVideo,1777998284,1,0,0
skdclskt,22,3ftocepp,3,intro,InstructionsVideo,1777998284,1,0,0
skdclskt,17,r6xuxcar,2,intro,Instructions,1777998285,1,0,0
skdclskt,21,87uw2jck,1,intro,Consent,1777998285,1,0,0
skdclskt,1,9bv3gi2y,2,intro,Instructions,1777998285,1,0,0
skdclskt,2,1tnknpce,3,intro,InstructionsVideo,1777998286,1,0,0
skdclskt,24,x7l4wbwx,2,intro,Instructions,1777998287,1,0,0
skdclskt,15,su76nhj9,3,intro,InstructionsVideo,1777998288,1,0,0
skdclskt,17,r6xuxcar,3,intro,InstructionsVideo,1777998288,1,0,0
skdclskt,14,nu7ykbgx,2,intro,Instructions,1777998289,1,0,0
skdclskt,24,x7l4wbwx,3,intro,InstructionsVideo,1777998290,1,0,0
skdclskt,12,s1twfhpt,1,intro,Consent,1777998290,1,0,0
skdclskt,20,2vy9s3px,2,intro,Instructions,1777998291,1,0,0
skdclskt,4,h7nk13vs,2,intro,Instructions,1777998292,1,0,0
skdclskt,14,nu7ykbgx,3,intro,InstructionsVideo,1777998292,1,0,0
skdclskt,23,xz3dh0k4,1,intro,Consent,1777998292,1,0,0
skdclskt,20,2vy9s3px,3,intro,InstructionsVideo,1777998293,1,0,0
skdclskt,9,fa5fpl4w,2,intro,Instructions,1777998293,1,0,0
skdclskt,1,9bv3gi2y,3,intro,InstructionsVideo,1777998294,1,0,0
skdclskt,4,h7nk13vs,3,intro,InstructionsVideo,1777998295,1,0,0
skdclskt,8,klvgct3w,1,intro,Consent,1777998295,1,0,0
skdclskt,9,fa5fpl4w,3,intro,InstructionsVideo,1777998296,1,0,0
skdclskt,23,xz3dh0k4,2,intro,Instructions,1777998300,1,0,0
skdclskt,21,87uw2jck,2,intro,Instructions,1777998303,1,0,0
skdclskt,23,xz3dh0k4,3,intro,InstructionsVideo,1777998304,1,0,0
skdclskt,10,0sa5xwid,2,intro,Instructions,1777998305,1,0,0
skdclskt,21,87uw2jck,3,intro,InstructionsVideo,1777998306,1,0,0
skdclskt,10,0sa5xwid,3,intro,InstructionsVideo,1777998307,1,0,0
skdclskt,11,w5nuyib0,2,intro,Instructions,1777998308,1,0,0
skdclskt,11,w5nuyib0,3,intro,InstructionsVideo,1777998311,1,0,0
skdclskt,12,s1twfhpt,2,intro,Instructions,1777998311,1,0,0
skdclskt,3,zkl94ida,1,intro,Consent,1777998315,1,0,0
skdclskt,8,klvgct3w,2,intro,Instructions,1777998318,1,0,0
skdclskt,8,klvgct3w,3,intro,InstructionsVideo,1777998321,1,0,0
skdclskt,12,s1twfhpt,3,intro,InstructionsVideo,1777998324,1,0,0
skdclskt,18,2y2lzizt,4,intro,comprehensionQuestions,1777998333,1,0,0
skdclskt,14,nu7ykbgx,4,intro,comprehensionQuestions,1777998337,1,0,0
skdclskt,18,2y2lzizt,5,intro,selfAssessment,1777998340,1,0,0
skdclskt,22,3ftocepp,4,intro,comprehensionQuestions,1777998341,1,0,0
skdclskt,16,c2m857p1,4,intro,comprehensionQuestions,1777998343,1,0,0
skdclskt,14,nu7ykbgx,5,intro,selfAssessment,1777998349,1,0,0
skdclskt,22,3ftocepp,5,intro,selfAssessment,1777998349,1,0,0
skdclskt,5,8rrxo8mh,4,intro,comprehensionQuestions,1777998350,1,0,0
skdclskt,16,c2m857p1,5,intro,selfAssessment,1777998351,1,0,0
skdclskt,24,x7l4wbwx,4,intro,comprehensionQuestions,1777998351,1,0,0
skdclskt,13,tqeatlds,2,intro,Instructions,1777998359,1,0,0
skdclskt,5,8rrxo8mh,5,intro,selfAssessment,1777998363,1,0,0
skdclskt,24,x7l4wbwx,5,intro,selfAssessment,1777998364,1,0,0
skdclskt,13,tqeatlds,3,intro,InstructionsVideo,1777998367,1,0,0
skdclskt,21,87uw2jck,4,intro,comprehensionQuestions,1777998369,1,0,0
skdclskt,21,87uw2jck,5,intro,selfAssessment,1777998376,1,0,0
skdclskt,2,1tnknpce,4,intro,comprehensionQuestions,1777998438,1,0,0
skdclskt,4,h7nk13vs,4,intro,comprehensionQuestions,1777998380,1,0,0
skdclskt,6,53wkzdsp,1,intro,Consent,1777998386,1,0,0
skdclskt,3,zkl94ida,2,intro,Instructions,1777998388,1,0,0
skdclskt,4,h7nk13vs,5,intro,selfAssessment,1777998389,1,0,0
skdclskt,20,2vy9s3px,4,intro,comprehensionQuestions,1777998391,1,0,0
skdclskt,11,w5nuyib0,4,intro,comprehensionQuestions,1777998391,1,0,0
skdclskt,3,zkl94ida,3,intro,InstructionsVideo,1777998392,1,0,0
skdclskt,17,r6xuxcar,4,intro,comprehensionQuestions,1777998393,1,0,0
skdclskt,19,0qc91a5a,4,intro,comprehensionQuestions,1777998394,1,0,0
skdclskt,17,r6xuxcar,5,intro,selfAssessment,1777998399,1,0,0
skdclskt,20,2vy9s3px,5,intro,selfAssessment,1777998400,1,0,0
skdclskt,12,s1twfhpt,4,intro,comprehensionQuestions,1777998401,1,0,0
skdclskt,11,w5nuyib0,5,intro,selfAssessment,1777998406,1,0,0
skdclskt,15,su76nhj9,4,intro,comprehensionQuestions,1777998410,1,0,0
skdclskt,19,0qc91a5a,5,intro,selfAssessment,1777998415,1,0,0
skdclskt,15,su76nhj9,5,intro,selfAssessment,1777998417,1,0,0
skdclskt,3,zkl94ida,4,intro,comprehensionQuestions,1777998424,1,0,0
skdclskt,12,s1twfhpt,5,intro,selfAssessment,1777998431,1,0,0
skdclskt,3,zkl94ida,5,intro,selfAssessment,1777998433,1,0,0
skdclskt,10,0sa5xwid,5,intro,selfAssessment,1777998459,1,0,0
skdclskt,7,2tmxyq59,3,intro,InstructionsVideo,1777998464,1,0,0
skdclskt,8,klvgct3w,4,intro,comprehensionQuestions,1777998475,1,0,0
skdclskt,23,xz3dh0k4,4,intro,comprehensionQuestions,1777998478,1,0,0
skdclskt,13,tqeatlds,4,intro,comprehensionQuestions,1777998521,1,0,0
skdclskt,2,1tnknpce,5,intro,selfAssessment,1777998446,1,0,0
skdclskt,7,2tmxyq59,2,intro,Instructions,1777998448,1,0,0
skdclskt,10,0sa5xwid,4,intro,comprehensionQuestions,1777998448,1,0,0
skdclskt,8,klvgct3w,5,intro,selfAssessment,1777998482,1,0,0
skdclskt,23,xz3dh0k4,5,intro,selfAssessment,1777998500,1,0,0
skdclskt,19,0qc91a5a,6,trader_bridge_app,SyncTradingSession,1777998500,1,0,1
skdclskt,20,2vy9s3px,6,trader_bridge_app,SyncTradingSession,1777998500,1,0,1
skdclskt,21,87uw2jck,6,trader_bridge_app,SyncTradingSession,1777998500,1,0,1
skdclskt,22,3ftocepp,6,trader_bridge_app,SyncTradingSession,1777998500,1,0,1
skdclskt,23,xz3dh0k4,6,trader_bridge_app,SyncTradingSession,1777998500,1,0,1
skdclskt,24,x7l4wbwx,6,trader_bridge_app,SyncTradingSession,1777998500,1,0,1
skdclskt,19,0qc91a5a,7,trader_bridge_app,ResumeTradingSession,1777998513,1,0,1
skdclskt,20,2vy9s3px,7,trader_bridge_app,ResumeTradingSession,1777998513,1,0,1
skdclskt,21,87uw2jck,7,trader_bridge_app,ResumeTradingSession,1777998513,1,0,1
skdclskt,22,3ftocepp,7,trader_bridge_app,ResumeTradingSession,1777998513,1,0,1
skdclskt,23,xz3dh0k4,7,trader_bridge_app,ResumeTradingSession,1777998513,1,0,1
skdclskt,24,x7l4wbwx,7,trader_bridge_app,ResumeTradingSession,1777998513,1,0,1
