participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.condition,player.user_agent_browser,player.user_agent_browser_version,player.user_agent_os,player.user_agent_os_version,player.user_agent_device,player.user_agent_is_bot,player.user_agent_is_mobile,player.user_agent_is_tablet,player.user_agent_is_pc,player.attention_check,player.attention_check_passed,player.cq_wrong_first_try,player.cq_attempt_count,player.q1,player.q2,player.q3,player.q4,player.q5,player.self_assesment,group.id_in_subsession,group.treatment,group.market_design,group.group_composition,group.realized_group_size,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9bv3gi2y,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:25.907795,1,,,6097.0,1,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,45,b,d,a,c,d,1,1,gh,gamified,human_only,6,1,skdclskt,,,,,0
2,1tnknpce,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.237055,1,,,4685.0,2,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,7,1,gh,gamified,human_only,6,1,skdclskt,,,,,0
3,zkl94ida,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.243811,1,,,7353.0,3,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,5,1,gh,gamified,human_only,6,1,skdclskt,,,,,0
4,h7nk13vs,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.249481,1,,,5148.0,4,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,4,b,d,a,c,d,4,1,gh,gamified,human_only,6,1,skdclskt,,,,,0
5,8rrxo8mh,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.255568,1,,,5698.0,5,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,7,1,gh,gamified,human_only,6,1,skdclskt,,,,,0
6,53wkzdsp,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.261968,1,,,5089.0,6,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,8,1,gh,gamified,human_only,6,1,skdclskt,,,,,0
7,2tmxyq59,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.267852,1,,,5570.0,1,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,2,gh,gamified,human_only,6,1,skdclskt,,,,,0
8,klvgct3w,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.277407,1,,,5086.0,2,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,7,2,gh,gamified,human_only,6,1,skdclskt,,,,,0
9,fa5fpl4w,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.284184,1,,,5251.0,3,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,1,6,b,d,a,c,d,0,2,gh,gamified,human_only,6,1,skdclskt,,,,,0
10,0sa5xwid,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.290374,1,,,5140.0,4,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,1,2,gh,gamified,human_only,6,1,skdclskt,,,,,0
11,w5nuyib0,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.299295,1,,,4813.0,5,,0.0,1,gh,Edge,147.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,3,2,gh,gamified,human_only,6,1,skdclskt,,,,,0
