participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trader_uuid,player.current_cash,player.num_shares,player.dividend_per_share,player.dividend_cash,player.cash_after_dividend,player.daybreak_snapshot_error,player.assigned_initial_cash,player.assigned_initial_shares,player.forecast_price_next_day,player.forecast_confidence_next_day,player.forecast_survey_json,player.realized_next_day_closing_price,player.forecast_bonus_earned,player.forecast_bonus_scored,player.algo_belief_present,player.algo_belief_confidence,group.id_in_subsession,group.trading_session_uuid,group.trading_api_base,group.trading_ws_base,group.trading_init_error,group.trading_day_duration_minutes,group.realized_group_size,group.treatment,group.market_design,group.group_composition,group.noise_trader_draw,group.noise_trader_present,group.num_days,group.dividends_csv,group.observed_last_transaction_price,group.closing_price,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,9bv3gi2y,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:25.907795,1,,,6097.0,1,,0.0,8f572d20-95a7-46ba-ba2a-8e808117b347,2600.0,21.0,8.0,168.0,2768.0,,2600.0,20.0,,,,,0.0,0,,,1,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
2,1tnknpce,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.237055,1,,,4685.0,2,,0.0,0d49a0af-7711-49c1-a980-1ce4cb747f19,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,1,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
3,zkl94ida,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.243811,1,,,7353.0,3,,0.0,261c9bee-da67-4d1d-8144-87becb48c51d,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,1,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
4,h7nk13vs,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.249481,1,,,5148.0,4,,0.0,f1ebfa30-9819-4739-bb3e-139f3ebb772b,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,1,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
5,8rrxo8mh,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.255568,1,,,5698.0,5,,0.0,239c3d76-053a-40ec-a8c7-ed2420592ca4,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,1,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
6,53wkzdsp,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.261968,1,,,5089.0,6,,0.0,54ceb134-b66d-4f4f-8ffb-b677a3be5d9d,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,1,6f73b226-f3d6-453b-bec2-d4fe1457f0e7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
7,2tmxyq59,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.267852,1,,,5570.0,1,,0.0,d9d68e96-849c-41c0-8094-a55ca3b3a355,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,2,07790da6-16e1-4c15-9884-8a76c7e84392,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
8,klvgct3w,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.277407,1,,,5086.0,2,,0.0,c97d7d05-3010-4231-8b4c-ad5e9ce763a8,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,2,07790da6-16e1-4c15-9884-8a76c7e84392,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
9,fa5fpl4w,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.284184,1,,,5251.0,3,,0.0,804b1c25-e400-485b-a0e0-2371a4903700,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,2,07790da6-16e1-4c15-9884-8a76c7e84392,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
10,0sa5xwid,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.290374,1,,,5140.0,4,,0.0,7b242fc9-bd1b-4836-a718-b85e1c1a176b,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,2,07790da6-16e1-4c15-9884-8a76c7e84392,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
11,w5nuyib0,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.299295,1,,,4813.0,5,,0.0,29625c5b-f726-4de1-8b9e-9c49743b4cab,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,2,07790da6-16e1-4c15-9884-8a76c7e84392,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
12,s1twfhpt,,0,221,220,post_exp,FinalForProlific,2026-05-05 16:24:26.305361,1,,,4871.0,6,,0.0,4b51a285-57d1-4d32-aa02-d36f8179ed63,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,2,07790da6-16e1-4c15-9884-8a76c7e84392,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,gh,gamified,human_only,0.0,0,15,"[8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,skdclskt,,,,,0
