trading_session_uuid,trader_uuid,trader_type,event_name,element_type,element_id,element_label,client_ts,server_received_ts,payload_json,created_ts
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,0d49a0af-7711-49c1-a980-1ce4cb747f19,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:36:27.069Z,2026-05-05T16:36:27.106727+00:00,"{""client_ts"": ""2026-05-05T16:36:27.069Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""0d49a0af-7711-49c1-a980-1ce4cb747f19""}",1777998987.113246
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,f1ebfa30-9819-4739-bb3e-139f3ebb772b,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:36:27.122Z,2026-05-05T16:36:27.120036+00:00,"{""client_ts"": ""2026-05-05T16:36:27.122Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""f1ebfa30-9819-4739-bb3e-139f3ebb772b""}",1777998987.126678
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,54ceb134-b66d-4f4f-8ffb-b677a3be5d9d,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:36:27.095Z,2026-05-05T16:36:27.130129+00:00,"{""client_ts"": ""2026-05-05T16:36:27.095Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""54ceb134-b66d-4f4f-8ffb-b677a3be5d9d""}",1777998987.136166
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,8f572d20-95a7-46ba-ba2a-8e808117b347,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:36:27.123Z,2026-05-05T16:36:27.139373+00:00,"{""client_ts"": ""2026-05-05T16:36:27.123Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""8f572d20-95a7-46ba-ba2a-8e808117b347""}",1777998987.147074
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,239c3d76-053a-40ec-a8c7-ed2420592ca4,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:36:27.136Z,2026-05-05T16:36:27.150632+00:00,"{""client_ts"": ""2026-05-05T16:36:27.136Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""239c3d76-053a-40ec-a8c7-ed2420592ca4""}",1777998987.157647
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,261c9bee-da67-4d1d-8144-87becb48c51d,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:36:27.082Z,2026-05-05T16:36:27.162645+00:00,"{""client_ts"": ""2026-05-05T16:36:27.082Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""261c9bee-da67-4d1d-8144-87becb48c51d""}",1777998987.172513
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,0d49a0af-7711-49c1-a980-1ce4cb747f19,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:37:02.358Z,2026-05-05T16:37:02.495853+00:00,"{""client_ts"": ""2026-05-05T16:37:02.358Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""0d49a0af-7711-49c1-a980-1ce4cb747f19""}",1777999022.502879
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,f1ebfa30-9819-4739-bb3e-139f3ebb772b,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:37:02.412Z,2026-05-05T16:37:02.507624+00:00,"{""client_ts"": ""2026-05-05T16:37:02.412Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""f1ebfa30-9819-4739-bb3e-139f3ebb772b""}",1777999022.514458
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,261c9bee-da67-4d1d-8144-87becb48c51d,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:37:02.371Z,2026-05-05T16:37:02.517760+00:00,"{""client_ts"": ""2026-05-05T16:37:02.371Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""261c9bee-da67-4d1d-8144-87becb48c51d""}",1777999022.523868
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,8f572d20-95a7-46ba-ba2a-8e808117b347,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:37:02.412Z,2026-05-05T16:37:02.527657+00:00,"{""client_ts"": ""2026-05-05T16:37:02.412Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""8f572d20-95a7-46ba-ba2a-8e808117b347""}",1777999022.534673
6f73b226-f3d6-453b-bec2-d4fe1457f0e7,239c3d76-053a-40ec-a8c7-ed2420592ca4,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-05T16:37:02.428Z,2026-05-05T16:37:02.540853+00:00,"{""client_ts"": ""2026-05-05T16:37:02.428Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""239c3d76-053a-40ec-a8c7-ed2420592ca4""}",1777999022.547145
