session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,shares_recon,cash_recon,wealth_day_recon,gini,gini_recon,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,session_id,group_label
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,1,6101.0,2600.0,20.0,8.0,,,2545.0,22.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,1.0,0.0,1.0,2.0,2.0,1.0,6.0,64.66666666666667,-55.333333333333336,55.333333333333336,80.0,100.0,100.0,30.0,120,,,70.0,,0.46111111111111114,0,0,-0.4611111111111111,0,0,5185.0,21.0,2713.0,5065.0,0.009411764705882352,0.0105,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,2,6101.0,2600.0,20.0,8.0,,,2544.87,24.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,2.0,0.0,2.0,1.0,1.0,1.0,8.0,76.07875,-35.92125,35.92125,70.0,80.0,95.0,50.0,112,80.0,,85.0,-0.125,0.3207254464285714,0,0,-0.3207254464285714,0,0,5232.87,23.0,2720.87,5112.87,0.010456857167485557,0.012955333333333329,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,3,6101.0,2600.0,20.0,20.0,0.0,0.0,2738.37,23.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,1.0,1.0,0.0,1.0,0.0,0.0,10.0,68.2,-35.8,35.8,85.0,70.0,87.0,50.0,104,70.0,80.0,88.0,0.2142857142857142,0.34423076923076923,0,0,-0.34423076923076923,0,0,5130.37,23.0,3182.37,5390.37,0.023374320533052776,0.0242074217074217,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,4,6101.0,2600.0,20.0,20.0,,,3370.37,21.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,0.0,2.0,-2.0,2.0,0.0,1.0,22.0,68.45227272727273,-27.547727272727272,27.547727272727272,88.0,78.13,88.0,20.0,96,85.0,70.0,50.0,0.03529411764705892,0.2869554924242424,0,0,-0.2869554924242424,0,0,5386.37,21.0,3774.37,5622.37,0.025040310572218692,0.030686048922056397,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,5,6101.0,2600.0,20.0,4.0,,,3879.37,21.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,0.0,1.0,-1.0,3.0,2.0,1.0,14.0,62.96714285714285,-25.032857142857143,25.747142857142855,50.0,46.88,90.0,34.0,88,88.0,85.0,78.0,-0.43181818181818177,0.2925811688311688,0,0,-0.2844642857142858,0,0,5727.37,20.0,3943.37,5543.37,0.042322783022674046,0.03662379454926624,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,6,6101.0,2600.0,20.0,20.0,0.0,0.0,4047.37,19.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,1.0,2.0,-1.0,3.0,1.0,0.3333333333333333,10.0,69.75,-10.25,10.25,78.0,65.0,78.0,50.0,80,50.0,88.0,10.0,0.56,0.128125,0,0,-0.128125,0,0,5567.37,19.0,4407.37,5775.37,0.043221216970293734,0.04682157339821571,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,7,6101.0,2600.0,20.0,4.0,,,4731.37,15.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,0.0,4.0,-4.0,4.0,0.0,1.0,19.0,63.35526315789474,-8.644736842105264,12.276315789473685,10.0,68.0,79.0,10.0,72,78.0,50.0,60.5,-0.8717948717948718,0.1705043859649123,0,0,-0.12006578947368417,0,0,5811.37,15.0,4771.37,5731.37,0.05361220550780001,0.0473578310783108,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,8,6101.0,2600.0,20.0,20.0,,,4929.37,15.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,1.0,3.0,-2.0,4.0,1.0,0.5,14.0,58.785714285714285,-5.214285714285714,5.785714285714286,60.5,44.0,68.0,44.0,64,10.0,78.0,49.0,5.05,0.09040178571428571,1,0,-0.0814732142857143,0,0,5889.37,13.0,5169.37,5897.37,0.04703757857881753,0.04961041666666668,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,9,6101.0,2600.0,20.0,0.0,40.0,5.0,5467.37,10.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,1.0,5.0,-4.0,5.0,1.0,0.6666666666666666,23.0,55.52739130434783,-0.4726086956521738,7.0056521739130435,49.0,62.0,65.0,35.0,56,60.5,10.0,55.88,-0.1900826446280992,0.12510093167701863,0,0,-0.008439440993788747,0,0,6027.37,9.0,5407.37,5839.37,0.052018286553777125,0.051271796431467974,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
mn8370qr,kb2z64e8,98308155-5ef4-4781-92b2-15de5ba68a70,22db997d-e3e3-4d59-aae0-6cf6af50ce83,0,gp,10,6101.0,2600.0,20.0,8.0,,,5586.37,7.0,6021.0,0.6666666666666666,8.0,0.13333333333333341,15,1,26.0,0.0,1.0,1,0,1,1,1.0,3.0,-2.0,5.0,2.0,0.5,14.0,55.92928571428571,7.929285714285714,7.929285714285714,55.88,50.0,60.0,50.0,48,49.0,60.5,43.25,0.14040816326530625,0.16519345238095237,0,0,0.16519345238095232,0,0,5922.37,7.0,5582.37,5862.37,0.054342037433579175,0.05293795620437957,0.0,1.0,0.0,0.0,1.0,20260520_AM,20260520_AM/gp1
