session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag
qxgij9sh,g9jo03o9,c790e030-d023-437b-b3f5-54393dc4bea4,30fc2b4e-6bfb-433a-804d-56f7e84d7ba3,1,ghp,1,5611.0,2600.0,,,2600.0,20.0,5521.0,0.4166666666666667,1,-0.31666666666666665,1,1,20,0,0,0,1,1,1,0.0,0.0,0.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,5000.0,0.03631647211413749,0.0,0.0,0.0,1.0
qxgij9sh,h0ebvwds,c790e030-d023-437b-b3f5-54393dc4bea4,7282a71b-4af9-4161-9243-59a7200491a8,1,ghp,1,5268.0,3800.0,,,3980.0,9.0,5128.0,0.8333333333333334,7,-0.13333333333333341,1,0,33,0,1,1,1,1,1,0.0,1.0,-1.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,5060.0,0.03631647211413749,0.0,0.5,0.5,0.0
qxgij9sh,u2aoz11d,c790e030-d023-437b-b3f5-54393dc4bea4,9d5dfc26-db4a-4f04-a070-57ca9e03a8a8,1,ghp,1,4992.0,2600.0,,,2240.0,24.0,4892.0,0.8333333333333334,7,-0.13333333333333341,2,0,19,1,1,0,1,1,1,2.0,0.0,2.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,5120.0,0.03631647211413749,1.0,0.0,0.0,0.0
qxgij9sh,90ay03zv,c790e030-d023-437b-b3f5-54393dc4bea4,f9508a9f-40fc-4e43-82d6-2a10682c80ee,1,ghp,1,4543.0,3800.0,,,4160.0,8.0,4453.0,0.75,6,-0.15000000000000002,1,0,22,1,1,1,1,1,1,0.0,2.0,-2.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,5120.0,0.03631647211413749,0.0,1.0,0.0,0.0
qxgij9sh,ukmvlwcs,c790e030-d023-437b-b3f5-54393dc4bea4,fc375a6c-df52-4846-b92d-128b8b2369fb,1,ghp,1,5655.0,2600.0,,,3620.0,19.0,5515.0,1.0,9,-0.09999999999999998,3,0,21,1,1,1,1,1,1,0.0,6.0,-6.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,5900.0,0.03631647211413749,0.0,0.0,1.0,0.0
qxgij9sh,ehyb34jx,c790e030-d023-437b-b3f5-54393dc4bea4,29263d52-43a8-41f9-8fac-174bd27a3cac,1,ghp,1,4044.0,3800.0,,,2600.0,17.0,3934.0,0.9166666666666666,6,-0.31666666666666665,4,0,20,0,1,0,1,1,1,7.0,0.0,7.0,9.0,173.33333333333334,53.333333333333336,53.333333333333336,160.0,180.0,185.0,160.0,120,,,159.23,,0.4444444444444445,0,0,0.44444444444444453,0,0,4640.0,0.03631647211413749,1.0,0.0,0.0,0.0
qxgij9sh,6xvvhy1g,1929c09c-602b-4617-8659-48b1a29c8097,805afd8a-f298-447c-b524-fcfacc9b528f,0,ng,1,4941.0,2600.0,,,2720.0,21.0,4691.0,0.75,1,-0.65,2,0,22,0,1,1,0,0,1,0.0,1.0,-1.0,10.0,119.775,-0.225,4.775,126.0,120.0,130.0,95.0,120,,,129.82,,0.03979166666666667,0,0,-0.0018749999999999527,0,0,5240.0,0.0104736328125,0.0,0.0,1.0,0.0
qxgij9sh,o6ptk42l,1929c09c-602b-4617-8659-48b1a29c8097,fc1e2a3f-5601-4c5f-9adf-19d17e6e5667,0,ng,1,5638.0,3800.0,,,3814.0,12.0,5398.0,0.8333333333333334,4,-0.43333333333333335,1,1,20,0,1,1,0,0,1,2.0,2.0,0.0,10.0,119.775,-0.225,4.775,126.0,120.0,130.0,95.0,120,,,129.82,,0.03979166666666667,0,0,-0.0018749999999999527,0,0,5254.0,0.0104736328125,0.0,0.0,1.0,0.0
qxgij9sh,vitm387c,1929c09c-602b-4617-8659-48b1a29c8097,79bc089c-0e42-4ffb-a089-d39727a7ad5e,0,ng,1,4427.0,2600.0,,,2966.5,17.0,4227.0,0.5,1,-0.4,3,0,22,0,0,1,0,0,1,0.0,3.0,-3.0,10.0,119.775,-0.225,4.775,126.0,120.0,130.0,95.0,120,,,129.82,,0.03979166666666667,0,0,-0.0018749999999999527,0,0,5006.5,0.0104736328125,1.0,0.0,0.0,0.0
qxgij9sh,nngm5qgp,1929c09c-602b-4617-8659-48b1a29c8097,cd733786-3f26-45f5-9434-5391feb2db91,0,ng,1,521.0,3800.0,,,3583.0,12.0,261.0,1.0,5,-0.5,5,0,22,0,1,1,0,0,1,2.0,0.0,2.0,10.0,119.775,-0.225,4.775,126.0,120.0,130.0,95.0,120,,,129.82,,0.03979166666666667,0,0,-0.0018749999999999527,0,0,5023.0,0.0104736328125,0.0,1.0,0.0,0.0
