session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,initial_shares,dividend_per_share,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_limit_orders,n_cancels,directionality,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,shares_recon,cash_recon,wealth_day_recon,gini,gini_recon,feedback_flag,speculator_flag,fundamental_flag,other_flag,market_maker_flag,session_id,group_label
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,1,5440.0,3800.0,10.0,4.0,,,4040.0,8.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,2.0,-2.0,0.0,0.0,1.0,12.0,121.91833333333334,1.918333333333332,1.918333333333332,124.82,120.0,125.0,120.0,120,,,125.07,,0.0159861111111111,0,0,0.01598611111111114,0,0,5000.0,8.0,4072.0,4968.0,0.0010606666666666974,0.0030913180386864404,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,2,5440.0,3800.0,10.0,20.0,,,4072.0,8.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,1.0,0.0,,10.0,124.55999999999999,12.559999999999997,12.559999999999997,125.07,124.63,125.07,124.25,112,124.82,,124.1,0.0020028841531805064,0.11214285714285711,0,0,0.11214285714285703,0,0,4968.0,8.0,4232.0,5064.0,0.012014542439723995,0.003941623263888882,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,3,5440.0,3800.0,10.0,0.0,124.0,2.0,4107.37,9.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,7.0,124.63285714285713,20.63285714285714,20.63285714285714,124.1,125.0,125.0,124.07,104,125.07,124.82,122.0,-0.0077556568321739405,0.19839285714285712,0,0,0.19839285714285707,0,0,5043.37,9.0,4107.37,4971.37,0.007676209065278707,0.01343988888888889,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,4,5440.0,3800.0,10.0,0.0,,,3985.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,1.0,0.0,1.0,1.0,0.0,1.0,7.0,123.09571428571428,27.095714285714283,27.095714285714283,122.0,124.1,124.1,122.0,96,124.1,125.07,115.0,-0.01692183722804186,0.28224702380952377,0,0,0.28224702380952377,0,0,4945.37,10.0,3985.37,4865.37,0.015234371563063703,0.030333674863388,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,5,5440.0,3800.0,10.0,8.0,,,3985.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,2.0,115.0,27.0,27.0,115.0,115.0,115.0,115.0,88,122.0,124.1,90.0,-0.05737704918032782,0.3068181818181818,0,0,0.3068181818181818,0,0,4865.37,10.0,4065.37,4865.37,0.01986948603804132,0.02879678961748636,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,6,5440.0,3800.0,10.0,4.0,81.0,1.0,4065.37,10.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,1.0,90.0,10.0,10.0,90.0,90.0,90.0,90.0,80,115.0,122.0,66.0,-0.21739130434782605,0.125,0,0,0.125,0,0,4865.37,10.0,4105.37,4825.37,0.026583366876872884,0.03374262332872294,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,7,5440.0,3800.0,10.0,4.0,,,4035.37,11.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,6.0,69.33333333333333,-2.6666666666666665,2.6666666666666665,66.0,70.0,70.0,66.0,72,90.0,115.0,20.0,-0.2666666666666667,0.037037037037037035,0,0,-0.037037037037037104,0,0,4827.37,11.0,4079.37,4783.37,0.025506666666666705,0.03890651260504204,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,8,5440.0,3800.0,10.0,4.0,,,4079.37,12.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,1.0,1.0,,9.0,39.888888888888886,-24.11111111111111,24.11111111111111,20.0,53.0,53.0,20.0,64,66.0,90.0,35.0,-0.696969696969697,0.3767361111111111,0,0,-0.37673611111111116,0,0,4847.37,11.0,4123.37,4739.37,0.03796718199077844,0.048989479905437346,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,9,5440.0,3800.0,10.0,20.0,35.0,2.0,4127.37,11.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,,7.0,35.9,-20.099999999999998,20.099999999999998,35.0,35.0,37.0,35.0,56,20.0,66.0,31.0,0.75,0.3589285714285714,0,0,-0.35892857142857143,0,0,4743.37,11.0,4343.37,4871.37,0.045184604303174,0.0475004553734062,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
8o0qyfku,dw5igqpq,04d50e49-bd58-4a7b-bf5a-9059d667defe,2ba9601c-7731-44bf-a0de-3ff552d0dbf9,0,ng,10,5440.0,3800.0,10.0,8.0,,,4347.37,12.0,5310.0,0.75,6,-0.15000000000000002,1,1,21,1,0,1,0,0,2,0.0,0.0,0.0,1.0,1.0,,2.0,32.0,-16.0,16.0,31.0,33.0,33.0,31.0,48,35.0,20.0,15.0,-0.11428571428571432,0.3333333333333333,0,0,-0.3333333333333333,0,0,4923.37,11.0,4431.37,4871.37,0.04650665590964104,0.04859335154826959,1.0,0.0,0.0,0.0,0.0,20260826,20260826/ng2
