participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.condition,player.user_agent_browser,player.user_agent_browser_version,player.user_agent_os,player.user_agent_os_version,player.user_agent_device,player.user_agent_is_bot,player.user_agent_is_mobile,player.user_agent_is_tablet,player.user_agent_is_pc,player.attention_check,player.attention_check_passed,player.cq_wrong_first_try,player.cq_attempt_count,player.q1,player.q2,player.q3,player.q4,player.q5,player.self_assesment,group.id_in_subsession,group.treatment,group.market_design,group.group_composition,group.realized_group_size,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,viseix7p,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.162574,1,,,4068.0,1,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,0,1,ghp,gamified,human_only,6,1,ffe5xhmq,,,,,0
2,qhz5zte3,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.174764,1,,,5491.0,2,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,0,1,ghp,gamified,human_only,6,1,ffe5xhmq,,,,,0
3,kmcc2p31,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.179802,1,,,6177.0,3,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,1,ghp,gamified,human_only,6,1,ffe5xhmq,,,,,0
4,snooaw5j,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.185093,1,,,5310.0,4,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,6,1,ghp,gamified,human_only,6,1,ffe5xhmq,,,,,0
5,twrkr7hz,,0,306,307,post_exp,Payoff,2026-05-12 16:19:08.193724,1,,,5777.0,5,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,3,1,ghp,gamified,human_only,6,1,ffe5xhmq,,,,,0
6,hk3teh8u,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.431171,1,,,5073.0,6,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,8,1,ghp,gamified,human_only,6,1,ffe5xhmq,,,,,0
7,6kvq85km,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.454950,1,,,5884.0,1,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,6,2,ng,non_gamified,human_only,6,1,ffe5xhmq,,,,,0
8,7dpcven3,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.479580,1,,,5168.0,2,,0.0,1,ng,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,0,2,ng,non_gamified,human_only,6,1,ffe5xhmq,,,,,0
9,2mz5up3e,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.496584,1,,,5955.0,3,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,3,2,ng,non_gamified,human_only,6,1,ffe5xhmq,,,,,0
10,keffe6of,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.505946,1,,,4719.0,4,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,3,2,ng,non_gamified,human_only,6,1,ffe5xhmq,,,,,0
11,quvmw080,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.538071,1,,,5573.0,5,,0.0,1,ng,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,1,6,b,d,a,c,d,10,2,ng,non_gamified,human_only,6,1,ffe5xhmq,,,,,0
12,zmzx9bpp,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.548095,1,,,5011.0,6,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,2,ng,non_gamified,human_only,6,1,ffe5xhmq,,,,,0
13,er9d8a5v,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.558728,1,,,6590.0,1,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,3,3,ghp,gamified,human_only,2,1,ffe5xhmq,,,,,0
14,r2eorolq,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.574796,1,,,4974.0,2,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,4,3,ghp,gamified,human_only,2,1,ffe5xhmq,,,,,0
