participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trader_uuid,player.current_cash,player.num_shares,player.dividend_per_share,player.dividend_cash,player.cash_after_dividend,player.daybreak_snapshot_error,player.assigned_initial_cash,player.assigned_initial_shares,player.forecast_price_next_day,player.forecast_confidence_next_day,player.forecast_survey_json,player.realized_next_day_closing_price,player.forecast_bonus_earned,player.forecast_bonus_scored,player.algo_belief_present,player.algo_belief_confidence,group.id_in_subsession,group.trading_session_uuid,group.trading_api_base,group.trading_ws_base,group.trading_init_error,group.trading_day_duration_minutes,group.realized_group_size,group.treatment,group.market_design,group.group_composition,group.noise_trader_draw,group.noise_trader_present,group.num_days,group.dividends_csv,group.observed_last_transaction_price,group.closing_price,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,viseix7p,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.162574,1,,,4068.0,1,,0.0,8dc193cd-d77b-4b22-a21f-81d9b1fc5ceb,2480.0,22.0,8.0,176.0,2656.0,,2600.0,20.0,,,,,0.0,0,,,1,c4bbf60f-3400-469a-a64e-69a7fab7abf2,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",120.0,120.0,1,ffe5xhmq,,,,,0
2,qhz5zte3,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.174764,1,,,5491.0,2,,0.0,4f1868a5-b5a5-4d43-bf0a-ca07af406e2b,3700.0,13.0,8.0,104.0,3804.0,,3800.0,10.0,,,,,0.0,0,,,1,c4bbf60f-3400-469a-a64e-69a7fab7abf2,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",120.0,120.0,1,ffe5xhmq,,,,,0
3,kmcc2p31,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.179802,1,,,6177.0,3,,0.0,57f0c377-44e2-470c-bb8a-359b3427e764,2600.0,21.0,8.0,168.0,2768.0,,2600.0,20.0,,,,,0.0,0,,,1,c4bbf60f-3400-469a-a64e-69a7fab7abf2,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",120.0,120.0,1,ffe5xhmq,,,,,0
4,snooaw5j,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.185093,1,,,5310.0,4,,0.0,c59a8903-22ac-472f-88b2-ecd6c313567a,3800.0,12.0,8.0,96.0,3896.0,,3800.0,10.0,,,,,0.0,0,,,1,c4bbf60f-3400-469a-a64e-69a7fab7abf2,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",120.0,120.0,1,ffe5xhmq,,,,,0
5,twrkr7hz,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.193724,1,,,5777.0,5,,0.0,5c3dd256-d674-4fc5-8ff1-d95741d286fa,2720.0,19.0,8.0,152.0,2872.0,,2600.0,20.0,,,,,0.0,0,,,1,c4bbf60f-3400-469a-a64e-69a7fab7abf2,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",120.0,120.0,1,ffe5xhmq,,,,,0
6,hk3teh8u,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.431171,1,,,5073.0,6,,0.0,03eefb58-8798-4de9-b0fb-a0f645078983,3900.0,9.0,8.0,72.0,3972.0,,3800.0,10.0,,,,,0.0,0,,,1,c4bbf60f-3400-469a-a64e-69a7fab7abf2,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",120.0,120.0,1,ffe5xhmq,,,,,0
7,6kvq85km,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.454950,1,,,5884.0,1,,0.0,cc762b7e-c13a-451a-9c04-2147e49c2040,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,2,4036b89b-c1d0-4730-ba52-04bf7958d7d7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ffe5xhmq,,,,,0
8,7dpcven3,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.479580,1,,,5168.0,2,,0.0,3eaf4cb1-dcd5-4541-9b9e-fef2b865693f,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,2,4036b89b-c1d0-4730-ba52-04bf7958d7d7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ffe5xhmq,,,,,0
9,2mz5up3e,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.496584,1,,,5955.0,3,,0.0,7a5d2e62-8e5f-475d-8ec0-68cde2a3650b,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,2,4036b89b-c1d0-4730-ba52-04bf7958d7d7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ffe5xhmq,,,,,0
10,keffe6of,,0,308,307,post_exp,FinalForProlific,2026-05-12 16:19:08.505946,1,,,4719.0,4,,0.0,1af72ba3-553a-45d5-b4ff-46f9bb8358a3,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,2,4036b89b-c1d0-4730-ba52-04bf7958d7d7,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ffe5xhmq,,,,,0
