trading_session_uuid,trader_uuid,trader_type,event_name,element_type,element_id,element_label,client_ts,server_received_ts,payload_json,created_ts
c4bbf60f-3400-469a-a64e-69a7fab7abf2,57f0c377-44e2-470c-bb8a-359b3427e764,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-12T16:25:50.107Z,2026-05-12T16:25:50.112964+00:00,"{""client_ts"": ""2026-05-12T16:25:50.107Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""57f0c377-44e2-470c-bb8a-359b3427e764""}",1778603150.119816
c4bbf60f-3400-469a-a64e-69a7fab7abf2,03eefb58-8798-4de9-b0fb-a0f645078983,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-12T16:25:50.082Z,2026-05-12T16:25:50.124036+00:00,"{""client_ts"": ""2026-05-12T16:25:50.082Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""03eefb58-8798-4de9-b0fb-a0f645078983""}",1778603150.130141
c4bbf60f-3400-469a-a64e-69a7fab7abf2,8dc193cd-d77b-4b22-a21f-81d9b1fc5ceb,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-12T16:25:50.099Z,2026-05-12T16:25:50.132770+00:00,"{""client_ts"": ""2026-05-12T16:25:50.099Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""8dc193cd-d77b-4b22-a21f-81d9b1fc5ceb""}",1778603150.138985
c4bbf60f-3400-469a-a64e-69a7fab7abf2,c59a8903-22ac-472f-88b2-ecd6c313567a,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-12T16:25:50.163Z,2026-05-12T16:25:50.141598+00:00,"{""client_ts"": ""2026-05-12T16:25:50.163Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""c59a8903-22ac-472f-88b2-ecd6c313567a""}",1778603150.147997
c4bbf60f-3400-469a-a64e-69a7fab7abf2,4f1868a5-b5a5-4d43-bf0a-ca07af406e2b,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-12T16:25:50.090Z,2026-05-12T16:25:50.151298+00:00,"{""client_ts"": ""2026-05-12T16:25:50.090Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""4f1868a5-b5a5-4d43-bf0a-ca07af406e2b""}",1778603150.157724
c4bbf60f-3400-469a-a64e-69a7fab7abf2,5c3dd256-d674-4fc5-8ff1-d95741d286fa,HUMAN,shown,trend_alert,up-streak,up-streak,2026-05-12T16:25:50.057Z,2026-05-12T16:25:50.160498+00:00,"{""client_ts"": ""2026-05-12T16:25:50.057Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 4 ticks!"", ""trader_id"": ""5c3dd256-d674-4fc5-8ff1-d95741d286fa""}",1778603150.166945
c4bbf60f-3400-469a-a64e-69a7fab7abf2,c59a8903-22ac-472f-88b2-ecd6c313567a,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-12T16:26:10.467Z,2026-05-12T16:26:10.418847+00:00,"{""client_ts"": ""2026-05-12T16:26:10.467Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""c59a8903-22ac-472f-88b2-ecd6c313567a""}",1778603170.427104
c4bbf60f-3400-469a-a64e-69a7fab7abf2,8dc193cd-d77b-4b22-a21f-81d9b1fc5ceb,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-12T16:26:10.403Z,2026-05-12T16:26:10.431384+00:00,"{""client_ts"": ""2026-05-12T16:26:10.403Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""8dc193cd-d77b-4b22-a21f-81d9b1fc5ceb""}",1778603170.442233
c4bbf60f-3400-469a-a64e-69a7fab7abf2,57f0c377-44e2-470c-bb8a-359b3427e764,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-12T16:26:10.413Z,2026-05-12T16:26:10.446317+00:00,"{""client_ts"": ""2026-05-12T16:26:10.413Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""57f0c377-44e2-470c-bb8a-359b3427e764""}",1778603170.454438
c4bbf60f-3400-469a-a64e-69a7fab7abf2,5c3dd256-d674-4fc5-8ff1-d95741d286fa,HUMAN,shown,trend_alert,down-streak,down-streak,2026-05-12T16:26:10.362Z,2026-05-12T16:26:10.457419+00:00,"{""client_ts"": ""2026-05-12T16:26:10.362Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""5c3dd256-d674-4fc5-8ff1-d95741d286fa""}",1778603170.464743
