session_code,participant_code,market_uuid,trader_uuid,gamified,treatment,trading_day,payoff,initial_cash,forecast,forecast_confidence,current_cash,num_shares,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,hedonic,price_notifications,repetition,n_buys,n_sells,net_position,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag
ffe5xhmq,viseix7p,a5f35780-eeec-48f3-bd11-2a02633bc450,3f3f926c-76bd-44db-b2dc-3e8e8ddbccb6,1,ghp,1,4068.0,2600.0,,,2600.0,20.0,3958.0,0.75,0,-0.75,1,0,18,0,0,1,1,1,1,0.0,0.0,0.0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,5000.0,0.007795344751866491,0.0,0.0,1.0,0.0
ffe5xhmq,qhz5zte3,a5f35780-eeec-48f3-bd11-2a02633bc450,7263bda7-ce07-4527-829d-593539f9496a,1,ghp,1,5491.0,3800.0,,,3714.0,12.0,5381.0,0.75,0,-0.75,2,1,18,0,0,1,1,1,1,1.0,0.0,1.0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,5154.0,0.007795344751866491,0.0,0.0,1.0,0.0
ffe5xhmq,kmcc2p31,a5f35780-eeec-48f3-bd11-2a02633bc450,d896d1d1-903a-4faf-af2e-bda1e25a47cc,1,ghp,1,6177.0,2600.0,,,2600.0,21.0,5957.0,1.0,7,-0.30000000000000004,1,0,39,0,1,1,1,1,1,0.0,0.0,0.0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,5120.0,0.007795344751866491,0.0,0.0,1.0,0.0
ffe5xhmq,snooaw5j,a5f35780-eeec-48f3-bd11-2a02633bc450,b051dea2-10fd-492e-a16a-123e7f6bc6ac,1,ghp,1,5310.0,3800.0,,,3886.0,9.0,5110.0,1.0,6,-0.4,1,0,28,0,1,1,1,1,1,0.0,1.0,-1.0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,4966.0,0.007795344751866491,0.0,1.0,0.0,0.0
ffe5xhmq,twrkr7hz,a5f35780-eeec-48f3-bd11-2a02633bc450,14a8161a-9d15-4590-8e4a-d60fa690d14e,1,ghp,1,5777.0,2600.0,,,2600.0,21.0,5687.0,0.75,3,-0.45,1,1,20,1,0,1,1,1,1,0.0,0.0,0.0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,5120.0,0.007795344751866491,0.0,1.0,0.0,0.0
ffe5xhmq,hk3teh8u,a5f35780-eeec-48f3-bd11-2a02633bc450,6a27507f-b151-4a9f-b11f-d433b22aeb62,1,ghp,1,5073.0,3800.0,,,3800.0,10.0,4943.0,0.4166666666666667,8,0.38333333333333336,3,1,23,1,0,0,1,1,1,0.0,0.0,0.0,1.0,86.0,-34.0,34.0,86.0,86.0,86.0,86.0,120,,,84.99,,0.2833333333333333,0,0,-0.2833333333333333,0,0,5000.0,0.007795344751866491,0.5,0.5,0.0,0.0
ffe5xhmq,6kvq85km,17f3bde5-9e00-47d0-8909-b138b266b325,c5382ee4-bd5b-45e4-8232-55a805c489d8,0,ng,1,5884.0,2600.0,,,2600.0,20.0,5744.0,0.8333333333333334,6,-0.2333333333333334,1,0,32,1,0,1,0,0,1,0.0,0.0,0.0,2.0,105.5,-14.5,14.5,112.0,99.0,112.0,99.0,120,,,112.0,,0.12083333333333333,0,0,-0.12083333333333333,0,0,5000.0,0.013246187363834422,0.0,0.5,0.5,0.0
ffe5xhmq,7dpcven3,17f3bde5-9e00-47d0-8909-b138b266b325,8097813e-2f6f-40a4-be05-70c6d8d3bca7,0,ng,1,5168.0,3800.0,,,3800.0,10.0,5088.0,0.5,0,-0.5,2,0,26,0,0,1,0,0,1,0.0,0.0,0.0,2.0,105.5,-14.5,14.5,112.0,99.0,112.0,99.0,120,,,112.0,,0.12083333333333333,0,0,-0.12083333333333333,0,0,5000.0,0.013246187363834422,0.0,0.0,0.0,1.0
ffe5xhmq,2mz5up3e,17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,0,ng,1,5955.0,2600.0,,,2389.0,23.0,5815.0,0.8333333333333334,3,-0.5333333333333334,1,0,25,0,0,1,0,0,1,2.0,0.0,2.0,2.0,105.5,-14.5,14.5,112.0,99.0,112.0,99.0,120,,,112.0,,0.12083333333333333,0,0,-0.12083333333333333,0,0,5149.0,0.013246187363834422,1.0,0.0,0.0,0.0
ffe5xhmq,keffe6of,17f3bde5-9e00-47d0-8909-b138b266b325,6eb3648e-8876-4d12-96eb-7269067415d5,0,ng,1,4719.0,3800.0,,,3899.0,9.0,4639.0,0.6666666666666666,3,-0.36666666666666664,3,0,40,0,0,1,0,0,1,0.0,1.0,-1.0,2.0,105.5,-14.5,14.5,112.0,99.0,112.0,99.0,120,,,112.0,,0.12083333333333333,0,0,-0.12083333333333333,0,0,4979.0,0.013246187363834422,0.0,0.0,1.0,0.0
