session_code,participant_code,market_uuid,trader_uuid,gamified,hybrid,algo_present,trading_day,payoff,initial_cash,forecast,forecast_confidence,current_cash,num_shares,algorithm_belief,trade_payoff,fin_quiz_score,self_assessment,overconfidence,cq_attempt_count,gender_female,age,finance_course,trading_experience,high_education,repetition,n_buys,n_sells,net_position,n_trades_market,avg_trade_price,avg_mispricing,avg_abs_mispricing,closing_price,opening_price,max_price,min_price,fundamental_value,price_L1,price_L2,price_next,return,abs_mispricing_ratio,surge,crash,normalized_mispricing,bubble_period,bubble_start,wealth_day,gini,feedback_flag,speculator_flag,fundamental_flag,other_flag
uik7aoor,nwrelnt3,5c7e4638-30e0-4888-990f-24f3d564c836,7101c7b2-cced-4f23-8b1e-af06300a3134,0,0,0,1,5638.0,2600.0,,,2740.0,19.0,,5578.0,0.3333333333333333,8.0,0.46666666666666673,2,0,33.0,0.0,1.0,1,1,1.0,2.0,-1.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,5020.0,0.003115653040877368,0.0,0.0,0.0,1.0
uik7aoor,jyza2hen,5c7e4638-30e0-4888-990f-24f3d564c836,be95f527-5ad3-4c59-b86e-16b055696e7d,0,0,0,1,4939.0,3800.0,,,3800.0,10.0,,4789.0,0.9166666666666666,10.0,0.08333333333333337,1,1,23.0,0.0,1.0,1,1,0.0,0.0,0.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,5000.0,0.003115653040877368,0.0,0.0,0.0,1.0
uik7aoor,8hcohaqe,5c7e4638-30e0-4888-990f-24f3d564c836,a9a9bfc8-0b2a-4983-bcf0-4b86c657dd86,0,0,0,1,4900.0,2600.0,,,2720.0,19.0,,4720.0,1.0,2.0,-0.8,2,1,22.0,0.0,0.0,0,1,0.0,1.0,-1.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,5000.0,0.003115653040877368,0.0,1.0,0.0,0.0
uik7aoor,4emhkmm9,5c7e4638-30e0-4888-990f-24f3d564c836,78864939-4723-4d4e-a310-1733979e65ba,0,0,0,1,5371.0,3800.0,,,3800.0,10.0,,5301.0,0.25,10.0,0.75,1,0,45.0,0.0,1.0,1,1,0.0,0.0,0.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,5000.0,0.003115653040877368,0.0,1.0,0.0,0.0
uik7aoor,gfuuq2ww,5c7e4638-30e0-4888-990f-24f3d564c836,f4139a7f-b72e-4c9e-b9f8-776ff8a34dc9,0,0,0,1,4482.0,2600.0,,,2355.0,22.0,,4462.0,0.16666666666666666,3.0,0.13333333333333333,3,1,19.0,0.0,0.0,1,1,2.0,0.0,2.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,4995.0,0.003115653040877368,0.0,0.0,0.0,1.0
uik7aoor,cl09qtj4,5c7e4638-30e0-4888-990f-24f3d564c836,ce2794fe-8d67-4dc5-a1e4-fda7496f0027,0,0,0,1,4825.0,3800.0,,,3800.0,10.0,,4715.0,0.9166666666666666,1.0,-0.8166666666666667,5,0,44.0,0.0,0.0,1,1,0.0,0.0,0.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,5000.0,0.003115653040877368,0.0,0.0,1.0,0.0
uik7aoor,2i53nqi2,5c7e4638-30e0-4888-990f-24f3d564c836,336243e5-56a5-47f6-9862-1a9c250841e8,0,0,0,1,5674.0,2600.0,,,2470.0,21.0,,5664.0,0.08333333333333333,10.0,0.9166666666666666,1,1,22.0,0.0,0.0,0,1,1.0,0.0,1.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,4990.0,0.003115653040877368,0.0,0.0,0.0,1.0
uik7aoor,wffepf9u,5c7e4638-30e0-4888-990f-24f3d564c836,4e3199a4-5b9d-45d0-980a-96571662a0a8,0,0,0,1,5134.0,3800.0,,,3915.0,10.0,,5074.0,0.3333333333333333,8.0,0.46666666666666673,1,1,44.0,0.0,1.0,1,1,0.0,1.0,-1.0,4.0,122.5,2.5,5.0,115.0,125.0,130.0,115.0,120,,,117.5,,0.041666666666666664,0,0,0.020833333333333332,0,0,5115.0,0.003115653040877368,0.0,0.0,0.0,1.0
uik7aoor,b2sjpg82,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,3f6f9d47-f2e6-44f6-8da9-2c8a16a3df63,1,1,0,1,5772.0,2600.0,,,2620.0,20.0,1.0,5702.0,0.5833333333333334,3.0,-0.2833333333333334,3,0,22.0,0.0,0.0,1,1,1.0,1.0,0.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,5020.0,0.0029910269192422734,0.0,0.0,1.0,0.0
uik7aoor,juhy06e8,418c69c6-ec34-43cb-8592-f2fd1b6fcf4f,e35674dc-ec96-4955-9641-275f1f5a2902,1,1,0,1,4773.0,3800.0,,,3910.0,9.0,0.0,4693.0,0.6666666666666666,8.0,0.13333333333333341,1,1,66.0,0.0,0.0,1,1,0.0,1.0,-1.0,4.0,127.5,7.5,12.5,150.0,130.0,150.0,110.0,120,,,170.0,,0.10416666666666667,0,0,0.0625,0,0,4990.0,0.0029910269192422734,0.0,0.0,0.0,1.0
