participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.condition,player.user_agent_browser,player.user_agent_browser_version,player.user_agent_os,player.user_agent_os_version,player.user_agent_device,player.user_agent_is_bot,player.user_agent_is_mobile,player.user_agent_is_tablet,player.user_agent_is_pc,player.attention_check,player.attention_check_passed,player.cq_wrong_first_try,player.cq_attempt_count,player.q1,player.q2,player.q3,player.q4,player.q5,player.self_assesment,group.id_in_subsession,group.treatment,group.market_design,group.group_composition,group.realized_group_size,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,g9jo03o9,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:12.875424,1,,,5611.0,1,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,1,1,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
2,h0ebvwds,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.125533,1,,,5268.0,2,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,1,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
3,u2aoz11d,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.130849,1,,,4992.0,3,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,7,1,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
4,90ay03zv,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.140123,1,,,4543.0,4,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,6,1,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
5,ukmvlwcs,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.146394,1,,,5655.0,5,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,9,1,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
6,ehyb34jx,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.152849,1,,,4044.0,6,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,4,b,d,a,c,d,6,1,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
7,6xvvhy1g,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.159196,1,,,4941.0,1,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,1,2,ng,non_gamified,human_only,6,1,qxgij9sh,,,,,0
8,o6ptk42l,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.166131,1,,,5638.0,2,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,4,2,ng,non_gamified,human_only,6,1,qxgij9sh,,,,,0
9,vitm387c,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.172514,1,,,4427.0,3,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,1,2,ng,non_gamified,human_only,6,1,qxgij9sh,,,,,0
10,nngm5qgp,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.181710,1,,,521.0,4,,0.0,1,ng,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,1,5,b,d,a,c,d,5,2,ng,non_gamified,human_only,6,1,qxgij9sh,,,,,0
11,9x5fpgk2,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.188564,1,,,6999.0,5,,0.0,1,ng,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,1,4,b,d,a,c,d,10,2,ng,non_gamified,human_only,6,1,qxgij9sh,,,,,0
12,7d70uqk8,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.195431,1,,,9064.0,6,,0.0,1,ng,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,2,b,d,a,c,d,6,2,ng,non_gamified,human_only,6,1,qxgij9sh,,,,,0
13,dadcupjc,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.202022,1,,,5593.0,1,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,3,3,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
14,stzawa55,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.207535,1,,,6667.0,2,,0.0,1,ghp,Edge,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,4,3,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
15,ja9vp1ab,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.214591,1,,,7291.0,3,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,5,3,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
16,tzbpp88u,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.221123,1,,,5765.0,4,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,5,3,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
17,gr27p5tr,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.227342,1,,,5642.0,5,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,3,b,d,a,c,d,7,3,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
18,e60078af,,0,308,307,post_exp,FinalForProlific,2026-05-21 00:20:13.233350,1,,,4972.0,6,,0.0,1,ghp,Chrome,148.0.0,Windows,10,Other,0,0,0,1,,1,1,10,b,d,a,c,d,6,3,ghp,gamified,human_only,6,1,qxgij9sh,,,,,0
