trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts,fundamental_value,market_id,treatment,market_design,group_composition,gamified,hybrid,repetition
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,2,7,2026-03-12 21:26:45.274072+00:00,trade,trade,ask,S,,,100.0,1.0,,,,,,3a45232e-7f75-4321-a901-9a6e3408ef30,,5f09caef-ad61-477d-84dc-a4f8755a7305,f22d9142-597c-44a8-bbb3-de30360fc226,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,914e1fc2-9d3c-4503-8f28-e329d90df453,1773350805.295226,112,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,2,11,2026-03-12 21:27:08.403486+00:00,trade,trade,bid,B,,,110.0,1.0,,,,,,ae8a8761-13d2-4ef2-adb5-32c3164e52c1,,09d0c364-8b7e-478e-95c9-2c33c7dfe423,5c48cb72-a580-4327-8eab-e0a7c8e93f4c,e5700b75-5d29-45d7-bafa-2e801b0e9e82,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773350828.419923,112,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,3,14,2026-03-12 21:28:03.519514+00:00,trade,trade,ask,S,,,100.0,1.0,,,,,,c91d06ac-b635-4b52-8f60-ec934bf40d17,,dfa16d5d-e53f-4055-8b18-13a9af2a0de9,9245918d-b08f-47e9-b177-b727baf8a05a,817c3405-e3a7-4f12-b0aa-18682cc45403,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773350883.552687,104,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,3,18,2026-03-12 21:28:27.293401+00:00,trade,trade,ask,S,,,70.0,1.0,,,,,,7d54e141-2c0f-450f-9bca-e6c7b5d4d0ac,,e46826c0-cd7f-491a-b495-504d1893ebd8,ebd497b0-a178-475c-9a89-dbe5cf9e5a1f,77bebd92-5e1a-445f-b2d1-79138b8028c0,e5700b75-5d29-45d7-bafa-2e801b0e9e82,1773350907.310252,104,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,4,22,2026-03-12 21:29:39.609567+00:00,trade,trade,bid,B,,,100.0,1.0,,,,,,86fa4ebb-890d-487e-bbb5-e314b5d8166e,,c1497994-80f3-4e07-9945-2fa3e5c84d12,a054f4c8-b947-41bd-8826-f51b13f9272c,914e1fc2-9d3c-4503-8f28-e329d90df453,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773350979.712124,96,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,4,28,2026-03-12 21:29:58.929572+00:00,trade,trade,bid,B,,,100.0,1.0,,,,,,7dbe4b3f-30a0-4be6-bd7b-4d0fc954ee7b,,9d43a707-cb89-48e2-a0b1-ddeb3f2107c2,3dac183c-2a42-48cf-bd07-fe7f0d19ac9d,817c3405-e3a7-4f12-b0aa-18682cc45403,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773350998.94681,96,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,4,31,2026-03-12 21:30:03.474844+00:00,trade,trade,bid,B,,,100.0,1.0,,,,,,d21bd360-95f7-418c-8b08-1b945a6ea3ed,,33a88f31-9bcc-4916-9d97-88fce5f74fa9,03e04eec-7cbb-40ab-9dfe-9318b3ed52f0,e5700b75-5d29-45d7-bafa-2e801b0e9e82,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351004.107693,96,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,5,38,2026-03-12 21:31:16.115627+00:00,trade,trade,bid,B,,,110.0,1.0,,,,,,1b0a97e0-1ee5-4c38-8e93-4da386464059,,25b51f02-8da3-482b-a66b-a47fa7d7637a,527b68da-4d49-4489-a997-b4b6ed6831da,817c3405-e3a7-4f12-b0aa-18682cc45403,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773351076.132902,88,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,6,41,2026-03-12 21:31:28.962171+00:00,trade,trade,bid,B,,,110.0,1.0,,,,,,25d0c215-fa61-4a1d-8e60-10290b9fea0c,,ce2a2d99-7d0c-4eb3-9eef-234686ffbb3a,7efa5962-6d45-46e5-aaa9-a2d109c16c74,8ec5d82c-c27e-40ec-8f69-fe61237f5412,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773351088.980134,80,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,6,44,2026-03-12 21:31:39.026179+00:00,trade,trade,bid,B,,,110.0,1.0,,,,,,a188263d-924e-448c-bfa0-2b38b641db06,,28cab58f-1721-42d9-82f9-fbd31058e12d,0c703763-7f97-4ca8-a6d7-9f0becb3787b,8ec5d82c-c27e-40ec-8f69-fe61237f5412,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773351099.043917,80,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,6,50,2026-03-12 21:32:40.259396+00:00,trade,trade,ask,S,,,110.0,1.0,,,,,,9d3190dd-4211-448d-b820-580b68ad169b,,02153a20-d8aa-46c1-949d-52258e4ed811,eec38280-1cbe-41fe-b8f6-c165559a893e,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351160.277087,80,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,7,56,2026-03-12 21:33:58.896658+00:00,trade,trade,bid,B,,,110.0,1.0,,,,,,e063af07-9899-48c9-96c6-100759b6c46f,,19d3ef0e-b2c8-407a-b28c-7f4bcadac900,5de09ecb-c0f3-4149-8ef6-3e18c6235994,77bebd92-5e1a-445f-b2d1-79138b8028c0,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351238.914505,72,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,7,59,2026-03-12 21:34:05.153267+00:00,trade,trade,bid,B,,,120.0,1.0,,,,,,4ff0952f-92fd-4975-8f39-37cb83c113ba,,5cfeb528-97d3-406f-86d0-9c9346ed5667,6d4dffc8-b48e-457a-9eb2-7512904f0e5b,77bebd92-5e1a-445f-b2d1-79138b8028c0,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351245.170475,72,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,8,67,2026-03-12 21:35:24.968112+00:00,trade,trade,bid,B,,,120.0,1.0,,,,,,60fa3c3e-2db4-4bd3-a8cf-3fc5326ce738,,472d98fe-218e-40e1-9244-978fb42108e6,f7c58186-8625-4262-a79e-8755300807a6,8ec5d82c-c27e-40ec-8f69-fe61237f5412,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773351324.984798,64,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,8,72,2026-03-12 21:35:32.483691+00:00,trade,trade,bid,B,,,120.0,1.0,,,,,,87f6e0ff-349f-4207-ab77-c9634ba80426,,c0b7918c-c0ce-4a50-9dcd-9931083cbd27,aa799e8c-daaf-41d5-a816-c2f6d29d9843,8ec5d82c-c27e-40ec-8f69-fe61237f5412,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773351332.504933,64,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,9,75,2026-03-12 21:35:46.236058+00:00,trade,trade,bid,B,,,120.0,1.0,,,,,,32066e5e-4e60-4d61-bd6b-2cd2cbfef5ca,,c9188d6c-a2ca-4260-b262-0e08ee8862b1,c53f5b14-a890-48b2-a7ac-7732d128b955,817c3405-e3a7-4f12-b0aa-18682cc45403,77bebd92-5e1a-445f-b2d1-79138b8028c0,1773351346.253667,56,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,9,79,2026-03-12 21:35:50.788962+00:00,trade,trade,bid,B,,,135.0,1.0,,,,,,fa4bcaab-f31a-4c2c-9c05-5900e197ce3a,,9af91cf6-c726-4c9d-a505-04705b5767e1,d9c8da76-2969-48dc-b086-70f0e74b6282,817c3405-e3a7-4f12-b0aa-18682cc45403,8ec5d82c-c27e-40ec-8f69-fe61237f5412,1773351350.806818,56,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
4397451b-fa5f-4b8f-b86e-278d272e1d68,0,1,9,86,2026-03-12 21:36:39.516216+00:00,trade,trade,ask,S,,,105.0,1.0,,,,,,ed93c181-0739-435f-887a-1452e30b1b4f,,b251c572-1919-4ba0-a672-cdd9cb8ff735,afda2131-69da-4909-b350-3b6ae514f089,77bebd92-5e1a-445f-b2d1-79138b8028c0,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,1773351399.565243,56,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,0,1
