market_uuid,trader_uuid,day,sh,cash,participant_code,treatment,initial_cash,shares0
a5f35780-eeec-48f3-bd11-2a02633bc450,3f3f926c-76bd-44db-b2dc-3e8e8ddbccb6,15,56.0,5314.3,viseix7p,ghp,2600.0,20
a5f35780-eeec-48f3-bd11-2a02633bc450,7263bda7-ce07-4527-829d-593539f9496a,15,38.0,5225.68,qhz5zte3,ghp,3800.0,10
a5f35780-eeec-48f3-bd11-2a02633bc450,d896d1d1-903a-4faf-af2e-bda1e25a47cc,15,4.0,6170.959999999999,kmcc2p31,ghp,2600.0,20
a5f35780-eeec-48f3-bd11-2a02633bc450,b051dea2-10fd-492e-a16a-123e7f6bc6ac,15,-10.0,5276.98,snooaw5j,ghp,3800.0,10
a5f35780-eeec-48f3-bd11-2a02633bc450,14a8161a-9d15-4590-8e4a-d60fa690d14e,15,12.0,5717.740000000001,twrkr7hz,ghp,2600.0,20
a5f35780-eeec-48f3-bd11-2a02633bc450,6a27507f-b151-4a9f-b11f-d433b22aeb62,15,-10.0,5574.34,hk3teh8u,ghp,3800.0,10
17f3bde5-9e00-47d0-8909-b138b266b325,c5382ee4-bd5b-45e4-8232-55a805c489d8,15,4.0,5848.0,6kvq85km,ng,2600.0,20
17f3bde5-9e00-47d0-8909-b138b266b325,8097813e-2f6f-40a4-be05-70c6d8d3bca7,15,10.0,5318.0,7dpcven3,ng,3800.0,10
17f3bde5-9e00-47d0-8909-b138b266b325,121ddd6b-3999-4e05-a2b3-d80bdfc8efba,15,-14.0,5942.0,2mz5up3e,ng,2600.0,20
17f3bde5-9e00-47d0-8909-b138b266b325,6eb3648e-8876-4d12-96eb-7269067415d5,15,48.0,5271.0,keffe6of,ng,3800.0,10
17f3bde5-9e00-47d0-8909-b138b266b325,1fee9bd8-a0b5-414d-b996-84be8a4a131f,15,54.0,5197.0,quvmw080,ng,2600.0,20
17f3bde5-9e00-47d0-8909-b138b266b325,e4da5453-0e94-4ba4-b1bb-3b711e2a2c8d,15,-12.0,6040.0,zmzx9bpp,ng,3800.0,10
